Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2016-11-02T12:18:28.213,2,0.00510590758492849,-0.356843834,FoVF,0.32059675404773735,0.7071844535120587,2457695.0101375077
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-03-18T14:45:11.528,4,2.337890172269331E-4,-2.366989579,FoVF,-0.706085681,0.7084851829771639,2457831.115448716
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-04-24T12:25:12.059,6,-0.004847604,2.6295391705065962,FoVP,0.452377917735656,0.711663964156048,2457868.021746924
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-04-24T14:11:46.325,6,-0.002266877,2.6341803558524197,FoVF,0.44881516038139446,0.7131049457200946,2457868.0957608176
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-04-24T18:25:26.316,1,0.003729955476375803,2.645306291628464,FoVP,0.44027304042107507,0.7164937671930891,2457868.2719328147
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-04-24T20:12:00.446,1,0.006187783502854481,2.650012814605467,FoVF,0.4366584906559567,0.7178993400580407,2457868.345945104
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-05-05T08:19:26.147,1,0.006827664780614683,-2.903543202,FoVF,-0.114200048,0.7207880002792122,2457878.851920841
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-05-05T12:33:05.988,2,0.002053120569362626,-2.891915253,FoVP,-0.121862343,0.7174464480314933,2457879.0280890726
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-05-05T14:19:40.180,5,1.4749357087597483E-5,-2.887043937,FoVF,-0.125053456,0.7160183336415812,2457879.102101232
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-05-05T18:33:20.297,6,-0.004913102,-2.87548161,FoVP,-0.132582789,0.7125624492576332,2457879.278272595
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-08-07T19:55:23.987,7,-0.007039374,-0.178252863,FoVP,0.06022458172424434,0.7199627016252905,2457973.335342721
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-08-08T01:55:38.469,4,-0.001704176,-0.161415747,FoVP,0.04882278704849743,0.7238247773367058,2457973.5854928056
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-08-08T03:42:12.694,5,-1.73E-04,-0.156419934,FoVF,0.04541738152362369,0.7249310308461159,2457973.6594948485
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-08-08T07:55:52.648,1,0.0033846745813223594,-0.144501564,FoVP,0.037252672785275276,0.7274962833571892,2457973.835639318
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-08-08T09:42:26.786,2,0.004841888018564203,-0.139483223,FoVF,0.03379797012695707,0.728545095665297,2457973.90964033
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-08-16T02:02:15.052,1,0.0032911219769030686,0.3952375658725621,FoVP,-0.367752275,0.7265811000242705,2457981.589484244
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-08-16T03:48:49.220,4,0.0015563387199589896,0.400181251343481,FoVF,-0.371558788,0.7254912323267428,2457981.6634849585
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-08-16T08:02:29.262,5,-0.002715929,0.41189800813966454,FoVP,-0.380577608,0.7228316781873294,2457981.8396288794
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-08-16T09:49:03.533,7,-0.004570854,0.4167984999517767,FoVF,-0.384348632,0.721687499384249,2457981.9136307626
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-09-24T13:28:27.209,2,0.002465973812894929,-0.789599051,FoVP,0.717350475060571,0.7178247375300523,2458021.0623389916
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-11-03T08:35:07.499,2,0.005102814124563609,0.4759693104856134,FoVF,-0.303155488,0.7064345505479138,2458060.854995426
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-11-03T12:48:47.669,2,0.0018597043929924999,0.4633836609271788,FoVP,-0.293130829,0.7084818489106773,2458061.0311414553
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-11-03T14:35:21.900,4,5.671429795796241E-4,0.45807830815971545,FoVF,-0.288905672,0.7093033595245276,2458061.105143171
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-11-03T18:49:01.880,5,-0.002343281,0.4454101106690975,FoVP,-0.278818603,0.7111652325886679,2458061.2812870583
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-11-03T20:35:36.036,7,-0.003496252,0.4400720131996392,FoVF,-0.274569027,0.711907626864571,2458061.3552879184
HD 164604,4.725983133158582,-0.498477422,03:06.9,-28:33:38.349,2017-11-04T00:49:15.845,7,-0.006074957,0.4273304577649183,FoVP,-0.264428272,0.7135784641468383,2458061.531429877
